Courier code,Courier name,物流商名称
poczta-polska,Poczta Polska,波兰邮政
belgium-post,Bpost,比利时邮政
tnt,TNT,TNT
japan-post,Japan Post,日本邮政
ups,UPS,UPS
australia-post,Australia Post,澳大利亚邮政
dhlglobalmail,DHL eCommerce US,DHL eCommerce US
mrw-spain,MRW,MRW
buylogic,Buylogic,捷买送
inpost-paczkomaty,InPost,InPost
mailamericas,MailAmericas,MailAmericas
correosexpress,Correos Express,Correos Express
canada-post,Canada Post,加拿大邮政
china-post,China Post,中国邮政
dhl-es,DHL(ES),DHL(ES)
orangeconnex,Orange Connex,橙联
usps,USPS,美国邮政
brazil-correios,Brazil Correios,巴西邮政
laposte,LaPoste,法国邮政-LaPoste
taqbin-jp,Yamato Japan,Yamato宅急便
luxembourg-post,Luxembourg Post,卢森堡邮政
gls-italy,GLS(IT),GLS(IT)
new-zealand-post,New Zealand Post,新西兰邮政
hermes,Hermes,Hermes
china-ems,China EMS,中国EMS
ubi-logistics,UBI,利通物流
russian-post,Russian Post,俄罗斯邮政
dhl,DHL,DHL
gls,GLS,GLS
dpd,DPD,DPD
hermes-de,Hermes(DE),Hermes(DE)
chronopost,Chronopost,法国EMS-Chronopost
jcex,JCEX,JCEX佳成
sweden-posten,PostNord Sweden,瑞典邮政
winlink,Vnlin,合联国际
correos-spain,Correos Spain,西班牙邮政
postnl-parcels,PostNL International,荷兰邮政
hong-kong-post,Hong Kong Post,香港邮政
sfcservice,SFC,三态速递
sagawa,Sagawa,Sagawa佐川急便
ctt,Portugal CTT,葡萄牙邮政-CTT
yunexpress,YunExpress,云途物流
finland-posti,Posti,芬兰邮政
colis-prive,Colis Prive,ColisPrivé
swiss-post,Swiss Post,瑞士邮政
dpd-uk,DPD(UK),DPD英国
denmark-post,PostNord Denmark,丹麦邮政
4px,4PX,递四方
fedex,FedEx,FedEx
poste-italiane,Poste Italiane,意大利邮政
correos-mexico,Correos Mexico,墨西哥邮政
yodel,Yodel,Yodel
sunyou,SUNYOU,顺友物流
j-net,J-NET,J-NET捷网
yanwen,Yanwen,燕文物流
dpd-poland,DPD(PL),DPD波兰
cainiao,Cainiao,菜鸟
wanbexpress,Wanb Express,万邦物流
chukou1,Chukou1,出口易
cnexps,CNE Express,递一物流
winit,Winit,万邑通
gls-es,GLS(ES),GLS(ES)
pitneybowes,Pitney Bowes,Pitney Bowes
italy-sda,Italy SDA,Italy SDA
smsa-express,SMSA Express,SMSA Express
dpex,DPEX,DPEX
meest,Meest,Meest
ydhex,YDH Express,YDH义达物流
ltian,LTIAN EXP,佳邮国际
flashexpress,Flash Express,Flash Express
jtexpress,J&T Express Singapore,J&T Express Singapore
famiport,Fami Port,全家快递
qi-eleven,7-ELEVEN,7-ELEVEN
hct,HCT Logistics,新竹物流
